date,TEST,ARIMA1,ARIMA3,ARIMA7 ,ARIMA14,BP1,BP3,BP7,BP14,LSTM1,LSTM3,LSTM7,LSTM14,seq2seq1,seq2seq3,seq2seq7,seq2seq14
11/8/2011,1275.920044,1261.916345,1261.916345,1261.916345,1261.916345,1129.845459,1051.252075,1006.743286,938.0543823,1277.829834,1249.986938,1223.954224,1215.523926,1237.663208,1245.015503,1237.003296,1219.594482
11/9/2011,1229.099976,1273.657794,1260.912605,1260.912605,1260.912605,1140.333496,1056.341675,1004.535645,939.4123535,1284.862183,1255.188354,1222.705078,1219.519531,1247.42041,1246.514771,1256.99585,1220.871216
11/10/2011,1239.699951,1231.465966,1260.071485,1260.071485,1260.071485,1164.318604,1060.187256,999.5847778,942.5297852,1300.909668,1261.527588,1216.86145,1222.538452,1269.650269,1274.262939,1240.64978,1215.137695
11/11/2011,1263.849976,1241.88756,1241.88756,1260.43307,1260.43307,1152.31543,1053.880127,993.8157959,944.5360107,1292.88501,1251.984863,1207.16626,1224.878418,1258.540039,1256.966187,1237.376343,1224.058105
11/14/2011,1251.780029,1260.950534,1241.007692,1260.155182,1260.155182,1158.308228,1045.137573,985.6620483,943.7218628,1296.892822,1240.980591,1196.719849,1227.421021,1264.090576,1264.395508,1211.546143,1227.023682
11/15/2011,1257.810059,1250.382394,1240.027509,1260.055685,1260.055685,1137.570801,1035.584961,977.8104858,945.741333,1283.01062,1229.087524,1184.247192,1231.627686,1244.852295,1249.623291,1208.977295,1241.948853
11/16/2011,1236.910034,1259.440808,1262.471888,1260.029264,1260.029264,1117.045166,1025.489258,975.2736206,946.6555786,1269.234253,1214.636597,1180.783203,1236.067017,1225.724609,1225.29541,1232.851563,1245.359009
11/17/2011,1216.130005,1238.225416,1260.541391,1238.225416,1259.99339,1116.572144,1018.849976,975.0015259,946.9414673,1268.916382,1206.877075,1178.882202,1236.9729,1225.282715,1229.933716,1207.279785,1249.596313
11/18/2011,1215.650024,1218.458961,1260.979215,1238.548841,1259.911472,1094.288086,1006.496643,980.2797852,948.0342407,1253.918091,1189.483643,1182.341064,1238.474731,1204.415283,1204.281006,1217.300537,1275.799561
11/21/2011,1192.97998,1217.454715,1251.232118,1238.851666,1259.854494,1089.447021,998.5496216,985.2471924,946.8588867,1250.654175,1180.133667,1190.205444,1239.12915,1199.868164,1205.907471,1190.28772,1264.89209
11/22/2011,1188.040039,1194.745981,1251.02782,1238.404365,1259.793492,1063.810181,1000.36969,990.7888794,948.7060547,1233.336182,1183.39624,1195.098999,1239.868164,1175.705322,1187.832031,1188.391357,1267.174194
11/23/2011,1161.790039,1190.371765,1251.87734,1238.985685,1259.729261,1060.773071,1008.273254,997.7427368,946.0706177,1231.280762,1192.119019,1207.767822,1237.169067,1172.833374,1176.277222,1223.019287,1255.036987
11/25/2011,1158.670044,1165.037285,1257.074835,1238.839297,1259.665346,1093.866577,1028.694458,1004.536194,947.8869629,1253.633911,1221.360474,1219.316772,1236.630615,1204.019531,1218.28479,1237.769043,1267.582764
11/28/2011,1192.550049,1160.379561,1257.185378,1238.726003,1259.603213,1096.455688,1040.931396,1010.435303,948.6748657,1255.378906,1234.735352,1227.294678,1236.076294,1206.449463,1206.567383,1256.340332,1262.891846
11/29/2011,1195.189941,1190.323696,1256.68878,1218.459854,1190.323696,1147.530884,1051.492554,1011.675598,946.9471436,1289.682617,1249.7052,1230.854736,1234.060425,1254.103271,1257.245239,1233.755615,1238.957275
11/30/2011,1246.959961,1192.681102,1238.849936,1220.041982,1188.248521,1145.170166,1054.039307,1011.948059,947.9804688,1288.102051,1253.464355,1231.279663,1234.508789,1251.912476,1257.475952,1261.118286,1251.578491
12/1/2011,1244.579956,1242.745693,1239.627455,1219.48231,1189.125581,1144.872803,1057.363159,1010.861633,948.5400391,1287.902832,1257.200806,1231.867554,1235.663086,1251.636353,1254.036377,1257.563477,1248.13623
12/2/2011,1244.280029,1241.693969,1239.702465,1219.881446,1189.35776,1157.582153,1061.097412,1009.243958,951.708252,1296.407593,1262.356201,1227.493164,1238.555298,1263.418457,1266.539429,1245.769043,1248.575684
12/5/2011,1257.079956,1243.174211,1218.857124,1220.442596,1188.173222,1158.964478,1055.465332,1004.663269,950.2710571,1297.331787,1253.935791,1222.759155,1240.009521,1264.69812,1262.095581,1240.830444,1240.989868
12/6/2011,1258.469971,1255.995297,1220.684174,1220.212839,1188.21444,1161.491577,1054.775635,1000.653564,953.1191406,1299.020752,1255.190674,1217.240967,1242.883179,1267.036133,1275.663696,1244.856201,1253.678589
12/7/2011,1261.01001,1255.941249,1219.621915,1220.052463,1188.250092,1135.036987,1049.372925,998.3811646,953.1733398,1281.312012,1245.858887,1213.569092,1243.637207,1242.49585,1240.713257,1253.267578,1254.756348
12/8/2011,1234.349976,1260.662403,1217.29841,1217.523194,1188.121075,1155.703369,1046.811401,995.852356,952.8991089,1295.151245,1243.488037,1209.213989,1245.322998,1261.678955,1263.817993,1224.245483,1263.870361
12/9/2011,1255.189941,1236.544711,1217.903099,1217.171472,1188.01479,1137.135132,1036.828979,995.7476196,953.5662842,1282.718506,1230.084229,1207.846313,1246.532959,1244.447266,1245.901123,1243.331909,1266.601929
12/12/2011,1236.469971,1254.510881,1216.936653,1217.586851,1187.965431,1126.516113,1032.180908,997.1165161,954.1695557,1275.595459,1224.624146,1210.502197,1250.294312,1234.561279,1239.973145,1234.384644,1275.739502
12/13/2011,1225.72998,1236.853582,1195.691259,1218.123536,1187.873814,1112.799561,1031.064453,1000.932617,957.4573364,1266.380127,1222.824829,1212.640015,1253.220215,1221.757202,1226.212646,1230.102539,1279.768677
12/14/2011,1211.819946,1227.526843,1196.755961,1217.978693,1187.781541,1116.670776,1029.356567,1005.246826,957.4568481,1268.982544,1219.947632,1219.883179,1255.511719,1225.374756,1226.228882,1234.924072,1277.917114
12/15/2011,1215.75,1214.570563,1196.484039,1217.801997,1187.696853,1120.525513,1035.559326,1009.034302,960.2402344,1271.572632,1230.183105,1225.476196,1257.794678,1228.973999,1240.723877,1235.589966,1281.930176
12/16/2011,1219.660034,1215.481094,1189.585049,1217.745514,1187.611293,1106.433838,1041.574707,1011.528687,961.0220337,1262.0979,1236.039307,1228.969604,1259.634033,1215.801758,1217.745361,1241.579712,1289.028809
12/19/2011,1205.349976,1219.520208,1190.56933,1194.917322,1192.870095,1141.918823,1052.440918,1014.808472,963.1691284,1285.924438,1251.226196,1235.080933,1262.90332,1248.893433,1253.86084,1259.395142,1286.665405
12/20/2011,1241.300049,1206.538319,1189.480242,1196.803629,1193.527457,1144.317383,1058.189941,1015.808594,964.5028076,1287.531128,1258.674072,1237.966675,1265.755737,1251.12085,1255.63147,1265.51062,1288.117188
12/21/2011,1243.719971,1239.246658,1165.167668,1197.245461,1193.703827,1154.520996,1063.150513,1019.082031,967.2694092,1294.360352,1264.784912,1241.157471,1268.13562,1260.583496,1262.575439,1276.790771,1294.602295
12/22/2011,1254,1241.159573,1166.554854,1196.945821,1192.47907,1165.792725,1061.758789,1021.091919,966.6057739,1301.894165,1262.621094,1244.761841,1268.546265,1271.012695,1270.486084,1266.993408,1291.911865
12/23/2011,1265.329956,1252.574007,1166.032594,1197.555495,1192.379764,1165.892334,1061.299072,1022.718201,968.2806396,1301.960815,1263.307739,1245.673096,1269.979248,1271.104736,1277.361938,1260.07666,1300.542725
12/27/2011,1265.430054,1264.179666,1160.364708,1197.358155,1192.439101,1150.190552,1059.729248,1023.879578,968.3657227,1291.463135,1260.065552,1247.848999,1272.299438,1256.570068,1257.471436,1265.266113,1302.489868
12/28/2011,1249.640015,1263.594183,1161.36836,1197.178605,1192.323439,1163.49231,1066.125122,1025.805054,971.152832,1300.357666,1269.660522,1251.006714,1276.080322,1268.886353,1275.596924,1271.106323,1302.371582
12/29/2011,1263.02002,1250.922853,1160.078133,1190.658635,1192.220676,1158.099365,1069.65625,1028.473755,972.8846436,1296.753296,1273.175659,1255.102539,1278.666504,1263.897217,1265.204468,1288.517456,1304.00769
12/30/2011,1257.599976,1262.430029,1190.086805,1191.586057,1192.175186,1177.491455,1074.882568,1031.197632,974.4987183,1309.702271,1280.503296,1259.061035,1280.45166,1281.810059,1284.693604,1283.005127,1309.295776
1/3/2012,1277.060059,1256.898125,1188.278461,1191.300145,1192.089001,1177.731079,1075.034302,1032.999146,975.5735474,1309.862061,1280.397339,1260.903809,1281.755005,1282.030884,1283.299438,1281.790283,1313.812134
1/4/2012,1277.300049,1275.451463,1188.259706,1191.890674,1191.997154,1181.487549,1075.788818,1033.563965,976.1577759,1312.366577,1281.725586,1262.348999,1284.296875,1285.491943,1288.359497,1277.770752,1315.534058
1/5/2012,1281.060059,1276.582617,1193.190895,1191.907551,1191.913749,1178.240356,1078.580811,1034.46936,977.6987305,1310.201782,1285.55957,1263.641846,1286.262207,1282.500366,1286.624634,1288.155029,1313.417725
1/6/2012,1277.810059,1280.165889,1191.837797,1191.678756,1191.829855,1181.127686,1082.042114,1037.078857,978.2748413,1312.126709,1289.558838,1267.894287,1287.28479,1285.160522,1286.461182,1303.53479,1317.026001
1/9/2012,1280.699951,1278.056599,1193.143896,1191.559608,1191.743549,1192.514282,1085.37439,1040.222778,979.0441284,1319.711792,1294.212402,1271.93042,1287.390625,1295.635742,1297.946411,1300.3396,1322.280396
1/10/2012,1292.079956,1279.972683,1240.47248,1165.400107,1243.328764,1192.915039,1084.601807,1042.617554,979.0702515,1319.978638,1292.830811,1274.397827,1287.50647,1296.003906,1296.298706,1293.295532,1324.238647
1/11/2012,1292.47998,1290.831065,1237.835748,1166.961563,1240.640325,1195.941772,1084.855347,1044.284302,979.3075562,1321.99292,1293.712646,1277.057861,1288.88562,1298.783813,1301.809937,1292.36731,1321.885742
1/12/2012,1295.5,1291.566693,1238.328398,1167.507173,1239.741278,1189.519897,1088.110474,1045.66333,980.4507446,1317.718262,1298.101196,1279.468506,1290.48291,1292.883545,1297.139282,1300.498535,1321.031616
1/13/2012,1289.089966,1295.223967,1242.233821,1167.460119,1239.629298,1194.107544,1094.176392,1048.669678,982.7461548,1320.772339,1305.577026,1283.93811,1293.439087,1297.099365,1298.97522,1316.840088,1328.761475
1/17/2012,1293.670044,1289.38943,1240.297016,1168.187088,1237.859109,1208.530396,1099.108154,1050.440674,984.4831543,1330.362183,1311.973877,1286.927979,1295.686646,1310.326782,1311.326416,1310.338379,1326.381104
1/18/2012,1308.040039,1293.234833,1242.637782,1167.876355,1238.062967,1215.02832,1100.894531,1050.975952,986.2216187,1334.677246,1314.400146,1287.048462,1297.946777,1316.272949,1317.462036,1307.516479,1329.02417
1/19/2012,1314.5,1306.425733,1242.627308,1167.686628,1238.158151,1215.914185,1100.901978,1050.36145,986.5040283,1335.265259,1314.347534,1287.229614,1299.574585,1317.08313,1317.889282,1310.330688,1329.379761
1/20/2012,1315.380005,1312.872477,1242.844629,1160.847191,1238.090792,1216.538452,1103.550781,1049.918335,988.2705688,1335.679565,1318.275513,1286.689331,1301.984863,1317.653687,1321.036987,1314.390625,1337.460693
1/23/2012,1316,1315.034074,1242.740153,1162.015535,1238.018514,1215.179443,1104.112671,1050.93396,988.9144897,1334.777466,1318.12085,1288.024048,1303.097046,1316.411133,1315.2229,1325.095215,1336.026123
1/24/2012,1314.650024,1315.751838,1255.723086,1161.952424,1238.005913,1226.678833,1104.255737,1051.955078,989.1860352,1342.404785,1318.85083,1289.425537,1304.483276,1326.91394,1327.898438,1316.269409,1343.104614
1/25/2012,1326.060059,1314.285522,1255.080414,1162.756493,1237.922026,1218.985962,1101.244263,1054.412598,990.4466553,1337.303467,1314.777588,1291.642334,1305.630005,1319.890503,1320.438477,1322.695679,1347.003418
